Profile code;PEPPOL BIS;Process Scheme;Profile ID
PEPPOL Billing profile V2;BIS 5A;cenbii-procid-ubl;urn:www.cenbii.eu:profile:bii05:ver2.0
PEPPOL Billing profile V3;BIS 5A;cenbii-procid-ubl;urn:fdc:peppol.eu:2017:poacc:billing:01:1.0
